Subbasin ID,HRU ID,Cell Count,HRU Area (m²),HRU Area (acres),SWAT ID,MUKEY ID,Slope Class
1,298,423,42300,10.45,41,286296,4
1,299,3,300,0.07,33,286229,2
1,301,429,42900,10.6,43,286212,1
1,302,1184,118400,29.26,43,286229,4
1,303,5,500,0.12,19,286229,4
1,304,1,100,0.02,19,286229,3
1,305,74,7400,1.83,19,286226,3
1,306,22,2200,0.54,41,286229,1
1,307,31,3100,0.77,20,286229,3
1,308,13,1300,0.32,41,286214,1
1,309,19,1900,0.47,41,286214,2
1,310,19,1900,0.47,20,286214,2
1,311,28,2800,0.69,20,286214,3
1,312,4,400,0.1,19,286296,3
1,313,93,9300,2.3,19,286226,2
1,314,98,9800,2.42,41,286297,3
1,315,16,1600,0.4,20,286214,1
1,316,21,2100,0.52,20,286214,4
1,320,79,7900,1.95,43,286313,2
1,321,2,200,0.05,91,286212,3
1,322,51,5100,1.26,19,286226,4
1,323,88,8800,2.17,19,286226,1
1,324,96,9600,2.37,41,286297,2
1,325,20,2000,0.49,41,286214,3
1,326,110,11000,2.72,43,286313,1
1,327,21,2100,0.52,91,286212,1
1,328,6,600,0.15,91,286212,2
1,329,39,3900,0.96,21,286296,3
1,330,188,18800,4.65,20,286227,4
1,331,47,4700,1.16,20,286296,4
1,332,40,4000,0.99,43,286297,2
1,333,4,400,0.1,20,286297,3
1,335,19,1900,0.47,43,286313,3
1,336,36,3600,0.89,20,286296,3
1,337,30,3000,0.74,41,286297,1
1,338,3,300,0.07,20,286297,4
1,342,25,2500,0.62,21,286296,2
1,343,34,3400,0.84,21,286296,4
1,344,94,9400,2.32,20,286227,3
1,345,66,6600,1.63,21,286214,1
1,352,12,1200,0.3,21,286296,1
1,353,4,400,0.1,91,286241,2
1,354,9,900,0.22,21,286241,2
1,355,60,6000,1.48,43,286241,1
1,356,27,2700,0.67,20,286227,2
1,357,20,2000,0.49,41,286297,4
1,358,14,1400,0.35,41,286214,4
1,359,102,10200,2.52,21,286214,2
1,360,154,15400,3.81,21,286214,3
1,361,18,1800,0.44,21,286225,4
1,364,16,1600,0.4,21,286241,3
1,365,91,9100,2.25,43,286241,3
1,366,2,200,0.05,21,2519931,3
1,367,393,39300,9.71,20,286226,4
1,368,53,5300,1.31,21,286214,4
1,371,9,900,0.22,21,286241,1
1,372,6,600,0.15,21,286241,4
1,373,365,36500,9.02,43,286241,4
1,374,13,1300,0.32,21,286297,4
1,375,2,200,0.05,21,2519931,2
1,376,22,2200,0.54,21,286297,3
1,379,3,300,0.07,11,286313,1
1,380,5,500,0.12,11,286313,2
1,381,2,200,0.05,11,286313,3
1,382,2,200,0.05,43,286313,4
1,383,1,100,0.02,21,2519931,1
1,392,64,6400,1.58,43,286241,2
1,395,604,60400,14.93,43,286212,4
1,396,1,100,0.02,11,286212,3
1,397,98,9800,2.42,21,286212,2
1,398,7,700,0.17,91,286241,4
1,403,25,2500,0.62,21,286313,1
1,404,22,2200,0.54,21,286313,2
1,405,67,6700,1.66,21,286212,3
1,408,3,300,0.07,21,286313,3
1,409,51,5100,1.26,21,286212,4
1,410,1,100,0.02,91,2519931,4
1,411,51,5100,1.26,21,286212,1
1,412,350,35000,8.65,43,286234,3
1,413,1,100,0.02,91,286234,3
1,414,3,300,0.07,91,286241,3
1,415,10,1000,0.25,82,286254,1
1,416,15,1500,0.37,21,286297,2
1,417,327,32700,8.08,43,286234,2
1,418,1,100,0.02,91,286234,2
1,419,129,12900,3.19,82,286233,1
1,420,66,6600,1.63,82,286233,2
1,421,11,1100,0.27,43,286297,4
1,423,365,36500,9.02,43,286234,4
1,424,139,13900,3.43,43,286234,1
1,425,2,200,0.05,82,286241,2
1,426,4,400,0.1,82,286254,2
1,427,36,3600,0.89,43,286297,3
1,428,2,200,0.05,82,286241,3
1,429,19,1900,0.47,82,286227,3
1,430,50,5000,1.24,82,286234,2
1,431,54,5400,1.33,82,286227,2
1,432,2,200,0.05,21,286297,1
1,433,34,3400,0.84,19,286212,1
1,434,40,4000,0.99,82,286234,1
1,435,17,1700,0.42,82,286227,1
1,436,36,3600,0.89,19,286212,4
1,437,50,5000,1.24,19,286212,3
1,438,31,3100,0.77,19,286212,2
1,439,535,53500,13.22,43,2519932,3
1,440,3,300,0.07,21,2519931,4
1,441,4,400,0.1,82,286233,3
1,442,605,60500,14.95,43,2519932,4
1,443,757,75700,18.71,43,2519932,2
1,444,2724,272400,67.31,43,2519932,1
1,445,17,1700,0.42,82,286212,2
1,446,15,1500,0.37,82,286212,3
1,447,795,79500,19.64,43,286255,4
1,448,489,48900,12.08,43,286255,3
1,449,76,7600,1.88,43,286255,1
1,450,392,39200,9.69,43,286255,2
1,451,12,1200,0.3,20,286255,1
1,452,35,3500,0.86,20,286255,2
1,453,9,900,0.22,82,286212,1
1,454,13,1300,0.32,82,286212,4
1,455,16,1600,0.4,20,286255,4
1,456,150,15000,3.71,43,286307,4
1,457,186,18600,4.6,82,2399595,1
1,458,127,12700,3.14,82,2399595,2
1,459,223,22300,5.51,43,286307,2
1,460,220,22000,5.44,43,286307,3
1,461,243,24300,6.0,43,286307,1
1,462,25,2500,0.62,20,286255,3
1,463,34,3400,0.84,43,2399595,1
1,464,39,3900,0.96,43,2399595,2
1,465,10,1000,0.25,82,2399595,3
1,466,2,200,0.05,82,2399595,4
1,470,25,2500,0.62,82,286226,1
1,471,29,2900,0.72,21,286255,4
1,472,15,1500,0.37,21,286255,2
1,473,108,10800,2.67,82,286262,1
1,474,66,6600,1.63,82,286262,2
1,475,2,200,0.05,82,286262,3
1,476,13,1300,0.32,21,286255,3
1,477,6,600,0.15,21,286255,1
1,478,67,6700,1.66,11,286284,1
1,479,1,100,0.02,11,286262,1
1,480,249,24900,6.15,43,286256,4
1,481,30,3000,0.74,53,286214,3
1,482,23,2300,0.57,43,286256,3
1,483,25,2500,0.62,53,286214,2
1,484,12,1200,0.3,53,286214,1
1,488,19,1900,0.47,43,2399595,3
1,491,4,400,0.1,53,286214,4
1,493,213,21300,5.26,43,286298,2
1,494,185,18500,4.57,43,286298,1
1,496,177,17700,4.37,43,286298,3
1,498,125,12500,3.09,21,286227,2
1,499,3,300,0.07,43,2399595,4
1,501,252,25200,6.23,21,286227,4
1,502,148,14800,3.66,21,286227,3
1,503,3,300,0.07,41,2519932,4
1,504,309,30900,7.64,43,286298,4
1,505,12,1200,0.3,19,286296,4
1,506,21,2100,0.52,41,2519932,2
1,507,50,5000,1.24,21,286227,1
1,508,4,400,0.1,19,286296,2
1,509,220,22000,5.44,41,286296,2
1,512,10,1000,0.25,19,286214,2
1,513,7,700,0.17,19,286214,3
1,514,25,2500,0.62,19,286214,4
1,515,5,500,0.12,41,2519932,3
1,519,1,100,0.02,19,286214,1
1,521,98,9800,2.42,41,2519932,1
1,532,4,400,0.1,43,286256,2
1,577,4,400,0.1,21,286225,2
1,578,1,100,0.02,21,286225,1
1,589,3,300,0.07,21,286225,3
1,590,306,30600,7.56,43,286311,2
1,591,311,31100,7.68,43,286311,1
1,606,28,2800,0.69,20,286311,3
1,607,56,5600,1.38,20,286311,2
1,608,35,3500,0.86,20,286311,1
1,611,56,5600,1.38,43,286311,3
1,620,75,7500,1.85,41,286240,3
1,621,109,10900,2.69,41,286240,4
1,622,18,1800,0.44,91,2519932,1
1,623,8,800,0.2,91,2519932,2
1,632,1,100,0.02,91,2519932,4
1,635,44,4400,1.09,41,286296,1
1,656,80,8000,1.98,41,286244,4
1,657,8,800,0.2,41,286295,4
1,658,47,4700,1.16,41,286295,3
1,659,89,8900,2.2,41,286295,2
1,673,6,600,0.15,41,286244,2
1,674,108,10800,2.67,43,286223,1
1,678,179,17900,4.42,43,286223,2
1,679,56,5600,1.38,41,286223,2
1,681,191,19100,4.72,43,286223,3
1,682,21,2100,0.52,41,286295,1
1,683,138,13800,3.41,43,286223,4
1,685,6,600,0.15,41,286244,3
1,686,3,300,0.07,41,286228,4
1,687,31,3100,0.77,41,286223,1
1,693,20,2000,0.49,41,286223,3
1,694,99,9900,2.45,82,286223,2
1,695,82,8200,2.03,82,286295,1
1,696,53,5300,1.31,82,286295,2
1,701,4,400,0.1,82,286296,3
1,703,1,100,0.02,41,286244,1
1,704,15,1500,0.37,82,286255,2
1,707,320,32000,7.91,43,286288,1
1,708,48,4800,1.19,82,286223,3
1,713,245,24500,6.05,43,286288,2
1,717,14,1400,0.35,82,286255,3
1,718,119,11900,2.94,82,286252,2
1,721,2,200,0.05,82,286255,4
1,722,113,11300,2.79,82,286252,1
1,723,24,2400,0.59,82,286252,3
1,727,3,300,0.07,82,286255,1
1,731,205,20500,5.07,43,286288,3
1,735,233,23300,5.76,43,286244,4
1,740,56,5600,1.38,19,286264,1
1,742,43,4300,1.06,19,286264,2
1,747,153,15300,3.78,43,286288,4
1,753,5,500,0.12,19,286264,3
1,757,612,61200,15.12,43,286222,4
1,762,29,2900,0.72,41,286241,4
1,765,450,45000,11.12,43,286222,3
1,769,12,1200,0.3,41,286241,3
1,770,17,1700,0.42,41,286241,2
1,771,4,400,0.1,82,286226,3
1,774,4,400,0.1,41,286241,1
1,778,570,57000,14.08,43,286222,2
1,779,48,4800,1.19,20,286244,2
1,780,41,4100,1.01,20,286244,3
1,781,19,1900,0.47,20,286244,1
1,782,108,10800,2.67,43,286310,4
1,783,139,13900,3.43,43,286310,3
1,785,24,2400,0.59,20,286244,4
1,786,109,10900,2.69,43,286310,2
1,787,3,300,0.07,19,286312,1
1,790,45,4500,1.11,43,286310,1
1,791,447,44700,11.05,43,286222,1
1,792,15,1500,0.37,82,286234,3
1,795,25,2500,0.62,41,286240,2
1,796,10,1000,0.25,41,286240,1
1,797,8,800,0.2,43,286312,1
1,802,275,27500,6.8,81,286226,2
1,804,74,7400,1.83,81,286226,3
1,805,5,500,0.12,82,286226,2
1,813,30,3000,0.74,20,286296,2
1,814,4,400,0.1,43,286252,1
